year,month,north_co2_anomaly,norm_north_co2,south_co2_anomaly,norm_south_co2,msl_mm_north,msl_mm_south,norm_msl_north,norm_msl_south,north_land_ocean_anomaly,south_land_ocean_anomaly,north_land_anomaly,south_land_anomaly,norm_north_land_ocean,norm_south_land_ocean,norm_north_land,norm_south_land
1997,9,-1.15752367815732,0.0964555640633987,0.0594708803068684,0.2024618933458305,12.7328313832727,15.409114230725423,0.12484235813443678,0.19005447893025268,0.61,0.61,0.66,0.86,0.3333333333333333,0.505050505050505,0.2921348314606742,0.49845201238390097
1997,10,0.1573629613855871,0.1958682780851268,0.0633568029800963,0.2039143476031054,12.3860829140305,17.87133887060794,0.12154743810649847,0.21278886536309533,0.69,0.59,0.85,0.7,0.3708920187793427,0.4848484848484847,0.3455056179775281,0.44891640866873067
1997,11,0.9959185025628924,0.2592677223409254,0.0897367168379963,0.2137744558480348,10.300969211526825,15.271739329428677,0.10173398971861493,0.18878605928987297,0.61,0.64,0.62,1.06,0.3333333333333333,0.5353535353535354,0.2808988764044944,0.5603715170278638
1997,12,2.369784690846912,0.3631396169762531,0.0809192774665321,0.2104787321730425,10.2956988232567,13.746116474551082,0.10168390872502267,0.1746995706032766,0.52,0.64,0.46,0.74,0.29107981220657275,0.5353535353535354,0.2359550561797753,0.4613003095975232
1998,1,2.645127106804077,0.3839570289359008,0.2222028231971577,0.2632867535197164,14.513824992386574,11.94945760571445,0.1417659555914757,0.15811053305141665,0.63,0.57,0.67,0.5,0.3427230046948357,0.4646464646464645,0.2949438202247191,0.38699690402476783
1998,2,1.4125532795812248,0.2907676195135276,0.1443224570649457,0.2341771497372772,19.777468087592524,9.74073967072845,0.19178285427372818,0.13771684262944203,0.9,0.73,1.26,1.23,0.4694835680751174,0.6262626262626262,0.4606741573033708,0.6130030959752322
1998,3,1.2961028651181667,0.2819633230802228,0.1856674756229956,0.249630814998163,20.565056588752025,10.612320911925323,0.19926678385506325,0.14576438809870182,0.68,0.59,0.88,0.63,0.36619718309859156,0.4848484848484847,0.35393258426966295,0.4272445820433437
1998,4,-0.2757411532808085,0.1631232077512069,0.1748417019755064,0.2455844295332847,20.1351392350005,9.56352566751026,0.1951815652459374,0.13608057777967364,0.91,0.53,1.4,0.2,0.47417840375586856,0.42424242424242414,0.5,0.29411764705882354
1998,5,-0.9466532545829232,0.1123985362436694,0.2916954862068488,0.289261257575906,24.38130192734615,6.108726115583201,0.23553002454114405,0.1041814785710535,0.69,0.71,0.88,1.03,0.3708920187793427,0.606060606060606,0.35393258426966295,0.5510835913312694
1998,6,-1.379656720212111,0.0796610755345274,0.3762541356527151,0.3208670255504514,25.1696723164599,5.065216341358825,0.24302138388355543,0.09454647042866188,0.8,0.68,1.04,1.09,0.4225352112676057,0.5757575757575758,0.3988764044943821,0.5696594427244583
1998,7,-1.4001004653939475,0.0781154151466467,0.3622555335556829,0.3156347214308116,25.23205772697306,5.34341303806558,0.24361419093761455,0.09711513581557535,0.83,0.58,1.15,0.76,0.43661971830985913,0.47474747474747464,0.4297752808988764,0.4674922600619196
1998,8,-1.3472538221544674,0.0821109141298907,0.2292632123413764,0.2659257386804838,23.6236681200605,4.714620824401225,0.22833073448825858,0.09130932714163968,0.84,0.59,1.14,1.05,0.4413145539906103,0.4848484848484847,0.4269662921348315,0.5572755417956656
1998,9,-1.087311160962212,0.1017640193193509,0.2216517365819297,0.2630807720404837,21.30586039318882,5.216878189342561,0.20630614958707677,0.09594680531416842,0.67,0.33,0.98,0.15,0.36150234741784043,0.2222222222222222,0.3820224719101124,0.2786377708978328
