time,msl,cycle
2013-06-05 19:53:57.697476608,0.06297662796576935,763.0
2013-06-15 17:52:29.566241280,0.06266955181884609,764.0
2013-06-25 15:51:01.476709888,0.06266925432838795,765.0
2013-07-05 13:49:33.027977472,0.06291683757119343,766.0
2013-07-15 11:48:03.869683968,0.06311922700844338,767.0
2013-07-25 09:46:34.770101760,0.06288395788666572,768.0
2013-08-04 07:45:05.857966848,0.06210756985321764,769.0
2013-08-14 05:43:37.212949504,0.06113713224627522,770.0
2013-08-24 03:42:09.061423616,0.06050033010123011,771.0
2013-09-01 17:12:51.675306240,0.06065465013004646,772.0
2013-09-15 05:32:10.549673984,0.06053210331157433,773.0
2013-09-22 21:37:44.956963584,0.061439630389216515,774.0
2013-10-02 19:36:16.498140416,0.06234870253567883,775.0
2013-10-12 17:34:47.683656704,0.06353650121212899,776.0
2013-10-22 15:33:18.683293184,0.0645697436421488,777.0
2013-11-01 13:31:50.082905344,0.06491680467003536,778.0
2013-11-11 11:30:22.456207104,0.06440779742062132,779.0
2013-11-21 09:28:54.659788032,0.06339501832187337,780.0
2013-12-01 07:27:25.844610048,0.06250279459138719,781.0
2013-12-11 05:25:57.477381376,0.06217160434357306,782.0
2013-12-21 03:24:28.831484928,0.06238643315477296,783.0
2013-12-31 01:23:01.159278080,0.06281152238329399,784.0
2014-01-09 23:21:33.421174016,0.0631871186930935,785.0
2014-01-19 21:20:04.990996992,0.0635727184285961,786.0
2014-01-29 19:18:36.727138304,0.06420267292806094,787.0
2014-02-08 17:17:08.318451200,0.06511645403397459,788.0
2014-02-18 15:15:39.163249408,0.06596709667111966,789.0
2014-02-28 13:14:10.225854464,0.06636696843579408,790.0
2014-03-10 11:12:42.535694592,0.06627023082242631,791.0
2014-03-20 09:11:14.391265792,0.06591863605891558,792.0
2014-03-30 07:09:46.485059584,0.06551794286517479,793.0
2014-04-09 05:08:17.900398848,0.06504826814790024,794.0
2014-04-19 03:06:48.820908032,0.0644488670791104,795.0
2014-04-29 01:05:20.185609472,0.06384309673251269,796.0
2014-05-08 23:03:52.531302912,0.06344988749734676,797.0
2014-05-18 21:02:24.956856832,0.06342863326849868,798.0
2014-05-28 19:00:56.920377088,0.06385222210338014,799.0
2014-06-07 16:59:28.399159552,0.06476149644622445,800.0
2014-06-17 14:57:59.674584576,0.06603725782187708,801.0
